SMILES,file_name
C8(OC)=CC=CC=C8[C@H]1[C@H](C9=CC=CC=C9OC)N(C(C2=CSC(C)=C2)=O)C(C(O)=O)N1C(C1=CSC(C)=C1)=O,acid_0
C6=CC(C=CC=C7)=C7C=C6[C@H]1[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C2=CC=C(C3=CC=CC=C3)O2)=O)C(C(O)=O)N1C(C1=CC=C(C2=CC=CC=C2)O1)=O,acid_1
C6=CC(C=CC=C7)=C7C=C6[C@H]1[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C2=COC(C)=C2)=O)C(C(O)=O)N1C(C1=COC(C)=C1)=O,acid_2
C6=CC=CC7=C6C=CC=C7[C@H]%80[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C%81=CC=CC(C)=C%81)=O)C(C(O)=O)N%80C(C%82=CC(C)=CC=C%82)=O,acid_3
C6=CC(C=CC=C7)=C7C=C6[C@H]1[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C2=CC(Br)=CS2)=O)C(C(O)=O)N1C(C1=CC(Br)=CS1)=O,acid_4
C7=CC=CC=C7[C@H]1[C@H](C8=CC=CC=C8)N(C(C2=CC=C(C=CC=C3)C3=C2)=O)C(C(O)=O)N1C(C1=CC(C=CC=C2)=C2C=C1)=O,acid_5
C7=CC=CC=C7[C@H]1[C@H](C8=CC=CC=C8)N(C(C2=C(Br)SC=C2)=O)C(C(O)=O)N1C(C1=C(Br)SC=C1)=O,acid_6
C7=CC=CC=C7[C@H]%10[C@H](C8=CC=CC=C8)N(C(C%11=CSC=C%11)=O)C(C(O)=O)N%10C(C%12=CSC=C%12)=O,acid_7
C8(C(F)(F)F)=CC=CC=C8[C@H]1[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C2=C(C)C=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC=C1C)=O,acid_8
C6=CC=CC7=C6C=CC=C7[C@H]1[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C2=CC=C(Cl)O2)=O)C(C(O)=O)N1C(C1=CC=C(Cl)O1)=O,acid_9
C7=CC=CC=C7[C@H]%45[C@H](C8=CC=CC=C8)N(C(C%46=CC=C(C(C)(C)C)C=C%46)=O)C(C(O)=O)N%45C(C%47=CC=C(C(C)(C)C)C=C%47)=O,acid_10
C8(C(F)(F)F)=CC=CC=C8[C@H]1[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C2=CC(CCCC3)=C3S2)=O)C(C(O)=O)N1C(C1=CC2=C(CCCC2)S1)=O,acid_11
C6=CC(C=CC=C7)=C7C=C6[C@H]1[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C2=COC(Br)=C2)=O)C(C(O)=O)N1C(C1=COC(Br)=C1)=O,acid_12
C6=CC=CC7=C6C=CC=C7[C@H]1[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C2=C(C)C=CO2)=O)C(C(O)=O)N1C(C1=C(C)C=CO1)=O,acid_13
C7=CC=CC=C7[C@H]1[C@H](C8=CC=CC=C8)N(C(C2=C(C=CC=C3)C3=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC2=C1C=CC=C2)=O,acid_14
C8(OC)=CC=CC=C8[C@H]1[C@H](C9=CC=CC=C9OC)N(C(C2=C(F)C=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC=C1F)=O,acid_15
C6=CC=CC7=C6C=CC=C7[C@H]%21[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C%22=CC=C(Cl)C=C%22)=O)C(C(O)=O)N%21C(C%23=CC=C(Cl)C=C%23)=O,acid_16
C8(OC)=CC=CC=C8[C@H]1[C@H](C9=CC=CC=C9OC)N(C(C2=C(C=CC=C3)C3=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC2=C1C=CC=C2)=O,acid_17
C8(OC)=CC=CC=C8[C@H]1[C@H](C9=CC=CC=C9OC)N(C(C2=C(I)C=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC=C1I)=O,acid_18
C6=CC(C=CC=C7)=C7C=C6[C@H]%33[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C%34=CC=C([N+]([O-])=O)C=C%34)=O)C(C(O)=O)N%33C(C%35=CC=C([N+]([O-])=O)C=C%35)=O,acid_19
C8(C(F)(F)F)=CC=CC=C8[C@H]%89[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C%90=CC=CC(C(C)(C)C)=C%90)=O)C(C(O)=O)N%89C(C%91=CC(C(C)(C)C)=CC=C%91)=O,acid_20
C8(C(F)(F)F)=CC=CC=C8[C@H]%48[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C%49=CC=C(C%50=CC=CC=C%50)C=C%49)=O)C(C(O)=O)N%48C(C%51=CC=C(C%52=CC=CC=C%52)C=C%51)=O,acid_21
O=C(C1=CC=C(Br)C=C1)N2C(C(O)=O)N(C(C3=CC=C(Br)C=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,acid_22
C8(OC)=CC=CC=C8[C@H]%33[C@H](C9=CC=CC=C9OC)N(C(C%34=CC=C([N+]([O-])=O)C=C%34)=O)C(C(O)=O)N%33C(C%35=CC=C([N+]([O-])=O)C=C%35)=O,acid_23
C8(C(F)(F)F)=CC=CC=C8[C@H]1[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C2=C(Br)C=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC=C1Br)=O,acid_24
C7=CC=CC=C7[C@H]%86[C@H](C8=CC=CC=C8)N(C(C%87=CC=CC(C(C)C)=C%87)=O)C(C(O)=O)N%86C(C%88=CC(C(C)C)=CC=C%88)=O,acid_25
C6=CC(C=CC=C7)=C7C=C6[C@H]1[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C2=CSC3=C2C=CC=C3)=O)C(C(O)=O)N1C(C1=CSC2=C1C=CC=C2)=O,acid_26
O=C(C1=CC=C(C(C)(C)C)C=C1)N2C(C(O)=O)N(C(C3=CC=C(C(C)(C)C)C=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,acid_27
C6=CC(C=CC=C7)=C7C=C6[C@H]1[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C2=C(I)C=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC=C1I)=O,acid_28
C6=CC=CC7=C6C=CC=C7[C@H]1[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C2=CC=C(C#N)O2)=O)C(C(O)=O)N1C(C1=CC=C(C#N)O1)=O,acid_29
C8(OC)=CC=CC=C8[C@H]1[C@H](C9=CC=CC=C9OC)N(C(C2=COC(Br)=C2)=O)C(C(O)=O)N1C(C1=COC(Br)=C1)=O,acid_30
C8(C(F)(F)F)=CC=CC=C8[C@H]1[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C2=C(C(C)(C)C)C=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC=C1C(C)(C)C)=O,acid_31
C6=CC=CC7=C6C=CC=C7[C@H]1[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C2=COC3=C2C=CC=C3)=O)C(C(O)=O)N1C(C1=COC2=C1C=CC=C2)=O,acid_32
C8(OC)=CC=CC=C8[C@H]1[C@H](C9=CC=CC=C9OC)N(C(C2=COC3=C2C=CC=C3)=O)C(C(O)=O)N1C(C1=COC2=C1C=CC=C2)=O,acid_33
C6=CC=CC7=C6C=CC=C7[C@H]1[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C2=CC=C(F)C=C2)=O)C(C(O)=O)N1C(C3=CC=C(F)C=C3)=O,acid_34
C8(C(F)(F)F)=CC=CC=C8[C@H]%16[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C%17=CSC=C%17OC)=O)C(C(O)=O)N%16C(C%18=CSC=C%18OC)=O,acid_35
O=C(C1=CC(C)=CC(C)=C1)N2C(C(O)=O)N(C(C3=CC(C)=CC(C)=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,acid_36
C8(C(F)(F)F)=CC=CC=C8[C@H]%21[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C%22=CC=C(Cl)C=C%22)=O)C(C(O)=O)N%21C(C%23=CC=C(Cl)C=C%23)=O,acid_37
C6=CC=CC7=C6C=CC=C7[C@H]%83[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C%84=CC=CC(CC)=C%84)=O)C(C(O)=O)N%83C(C%85=CC(CC)=CC=C%85)=O,acid_38
C8(C(F)(F)F)=CC=CC=C8[C@H]1[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C2=C(Cl)C=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC=C1Cl)=O,acid_39
C6=CC(C=CC=C7)=C7C=C6[C@H]1[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C2=CC(C)=CS2)=O)C(C(O)=O)N1C(C1=CC(C)=CS1)=O,acid_40
C8(OC)=CC=CC=C8[C@H]7[C@H](C9=CC=CC=C9OC)N(C(C8=CC=CC=C8)=O)C(C(O)=O)N7C(C9=CC=CC=C9)=O,acid_41
C6=CC=CC7=C6C=CC=C7[C@H]1[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C2=CC(C)=CS2)=O)C(C(O)=O)N1C(C1=CC(C)=CS1)=O,acid_42
C6=CC=CC7=C6C=CC=C7[C@H]1[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C2=C(CC)C=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC=C1CC)=O,acid_43
C8(C(F)(F)F)=CC=CC=C8[C@H]1[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C2=C(C#N)C=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC=C1C#N)=O,acid_44
C6=CC(C=CC=C7)=C7C=C6[C@H]%16[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C%17=CSC=C%17OC)=O)C(C(O)=O)N%16C(C%18=CSC=C%18OC)=O,acid_45
C6=CC=CC7=C6C=CC=C7[C@H]1[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C2=C(C#N)C=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC=C1C#N)=O,acid_46
C6=CC(C=CC=C7)=C7C=C6[C@H]1[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C2=CC=C(Cl)O2)=O)C(C(O)=O)N1C(C1=CC=C(Cl)O1)=O,acid_47
C8(OC)=CC=CC=C8[C@H]1[C@H](C9=CC=CC=C9OC)N(C(C2=C(C)OC(C)=C2)=O)C(C(O)=O)N1C(C1=C(C)OC(C)=C1)=O,acid_48
C8(C(F)(F)F)=CC=CC=C8[C@H]1[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C2=C(C(F)(F)F)OC=C2)=O)C(C(O)=O)N1C(C1=C(C(F)(F)F)OC=C1)=O,acid_49
C8(C(F)(F)F)=CC=CC=C8[C@H]%13[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C%14=C(F)C=CS%14)=O)C(C(O)=O)N%13C(C%15=C(F)C=CS%15)=O,acid_50
C7=CC=CC=C7[C@H]1[C@H](C8=CC=CC=C8)N(C(C2=C(C)OC=C2)=O)C(C(O)=O)N1C(C1=C(C)OC=C1)=O,acid_51
C6=CC=CC7=C6C=CC=C7[C@H]1[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C2=C(F)C=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC=C1F)=O,acid_52
C6=CC=CC7=C6C=CC=C7[C@H]1[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C2=CC=C(C)O2)=O)C(C(O)=O)N1C(C1=CC=C(C)O1)=O,acid_53
C6=CC(C=CC=C7)=C7C=C6[C@H]1[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C2=C(C)C(C=CC=C3)=C3O2)=O)C(C(O)=O)N1C(C1=C(C)C2=C(C=CC=C2)O1)=O,acid_54
C6=CC(C=CC=C7)=C7C=C6[C@H]1[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C2=COC=C2C)=O)C(C(O)=O)N1C(C1=COC=C1C)=O,acid_55
C8(OC)=CC=CC=C8[C@H]1[C@H](C9=CC=CC=C9OC)N(C(C2=CC=CO2)=O)C(C(O)=O)N1C(C1=CC=CO1)=O,acid_56
C6=CC=CC7=C6C=CC=C7[C@H]%13[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C%14=C(F)C=CS%14)=O)C(C(O)=O)N%13C(C%15=C(F)C=CS%15)=O,acid_57
C8(C(F)(F)F)=CC=CC=C8[C@H]7[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C8=CC=CC=C8)=O)C(C(O)=O)N7C(C9=CC=CC=C9)=O,acid_58
O=C(CCCCC)N1C(C(O)=O)N(C(CCCCC)=O)[C@@H](C2=CC=CC=C2)[C@@H]1C3=CC=CC=C3,acid_59
C8(OC)=CC=CC=C8[C@H]1[C@H](C9=CC=CC=C9OC)N(C(C2=CC=C(C3=CC=CC=C3)O2)=O)C(C(O)=O)N1C(C1=CC=C(C2=CC=CC=C2)O1)=O,acid_60
C8(C(F)(F)F)=CC=CC=C8[C@H]1[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C2=C([N+]([O-])=O)C=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC=C1[N+]([O-])=O)=O,acid_61
C6=CC(C=CC=C7)=C7C=C6[C@H]%77[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C%78=CC=CC([N+]([O-])=O)=C%78)=O)C(C(O)=O)N%77C(C%79=CC([N+]([O-])=O)=CC=C%79)=O,acid_62
C6=CC=CC7=C6C=CC=C7[C@H]1[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C2=COC=C2C)=O)C(C(O)=O)N1C(C1=COC=C1C)=O,acid_63
C6=CC=CC7=C6C=CC=C7[C@H]%62[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C%63=CC=CC(I)=C%63)=O)C(C(O)=O)N%62C(C%64=CC(I)=CC=C%64)=O,acid_64
C8(C(F)(F)F)=CC=CC=C8[C@H]1[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C2=COC=C2)=O)C(C(O)=O)N1C(C1=COC=C1)=O,acid_65
C6=CC=CC7=C6C=CC=C7[C@H]%45[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C%46=CC=C(C(C)(C)C)C=C%46)=O)C(C(O)=O)N%45C(C%47=CC=C(C(C)(C)C)C=C%47)=O,acid_66
C8(OC)=CC=CC=C8[C@H]1[C@H](C9=CC=CC=C9OC)N(C(C2=C(Cl)C=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC=C1Cl)=O,acid_67
C6=CC(C=CC=C7)=C7C=C6[C@H]%59[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C%60=CC=CC(Br)=C%60)=O)C(C(O)=O)N%59C(C%61=CC(Br)=CC=C%61)=O,acid_68
C6=CC(C=CC=C7)=C7C=C6[C@H]1[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C2=C(C)C=CS2)=O)C(C(O)=O)N1C(C1=C(C)C=CS1)=O,acid_69
O=C(C1=CC=CO1)N2C(C(O)=O)N(C(C3=CC=CO3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,acid_70
C6=CC(C=CC=C7)=C7C=C6[C@H]1[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C2=C(C)OC(C)=C2)=O)C(C(O)=O)N1C(C1=C(C)OC(C)=C1)=O,acid_71
C6=CC(C=CC=C7)=C7C=C6[C@H]1[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(CC2=CC=CC=C2)=O)C(C(O)=O)N1C(CC1=CC=CC=C1)=O,acid_72
C8(C(F)(F)F)=CC=CC=C8[C@H]4[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C5=CC=CS5)=O)C(C(O)=O)N4C(C6=CC=CS6)=O,acid_73
C6=CC(C=CC=C7)=C7C=C6[C@H]%53[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C%54=CC=CC(F)=C%54)=O)C(C(O)=O)N%53C(C%55=CC(F)=CC=C%55)=O,acid_74
C7=CC=CC=C7[C@H]%30[C@H](C8=CC=CC=C8)N(C(C%31=CC=C(C(F)(F)F)C=C%31)=O)C(C(O)=O)N%30C(C%32=CC=C(C(F)(F)F)C=C%32)=O,acid_75
C8(OC)=CC=CC=C8[C@H]1[C@H](C9=CC=CC=C9OC)N(C(C2=C(C)OC=C2)=O)C(C(O)=O)N1C(C1=C(C)OC=C1)=O,acid_76
C8(C(F)(F)F)=CC=CC=C8[C@H]1[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C2=C(C)C(C=CC=C3)=C3O2)=O)C(C(O)=O)N1C(C1=C(C)C2=C(C=CC=C2)O1)=O,acid_77
